racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card,Salary,full_name,Age,Height,Weight
21.0,Romain,Ntamack,France,Fly,25.0,1.86,94.0,2013.0,Stade Toulousain,Top 14,4.0,4.0,0.0,0.0,4.0,0.0,2.0,254.0,Champions Cup,4.0,4.0,0.0,0.0,4.0,1.0,5.0,318.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,55.0,0,0,450000,Romain Ntamack,,,
22.0,Richie,Mo�unga,New Zealand,Fly,30.0,1.76,86.0,2015.0,Toshiba Brave Lupus Tokyo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,3.0,7.0,1.0,56.0,572.0,0,0,1040000,Richie Mo�unga,,,
23.0,Josh,van-der-Flier,Ireland,Backrow ,31.0,1.83,105.0,2014.0,Leinster Rugby,United Rugby Championship,7.0,5.0,0.0,2.0,6.0,2.0,10.0,397.0,Champions Cup,8.0,7.0,0.0,1.0,5.0,3.0,15.0,441.0,14.0,11.0,0.0,3.0,12.0,0.0,0.0,886.0,0,0,275000,Josh van-der-Flier,,,
24.0,RG,Snyman,South Africa,Secondrow ,29.0,2.07,131.0,2015.0,Munster Rugby,United Rugby Championship,10.0,9.0,0.0,1.0,8.0,5.0,25.0,521.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,2.0,2.0,1.0,5.0,525.0,0,0,225000,RG Snyman,,,
25.0,Scott,Barrett,New Zealand,Secondrow ,30.0,1.97,119.0,2013.0,Crusaders,Super Rugby Pacific,5.0,1.0,0.0,4.0,5.0,1.0,5.0,318.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,3.0,9.0,0.0,0.0,700.0,2,1,250000,Scott Barrett,,,
26.0,Tadhg,Furlong,Ireland,Prop,31.0,1.83,119.0,2013.0,Leinster Rugby,United Rugby Championship,7.0,6.0,0.0,1.0,4.0,0.0,0.0,256.0,champions cup,6.0,5.0,0.0,1.0,6.0,0.0,0.0,346.0,13.0,10.0,0.0,3.0,12.0,0.0,0.0,703.0,0,0,380000,Tadhg Furlong,,,
27.0,Thomas,Ramos,France,Fullback ,29.0,1.78,87.0,2004.0,Stade Toulousain,Top 14,13.0,8.0,1.0,4.0,13.0,5.0,155.0,914.0,champions cup,7.0,7.0,0.0,0.0,4.0,3.0,77.0,373.0,12.0,9.0,1.0,2.0,11.0,1.0,63.0,843.0,0,0,400000,Thomas Ramos,,,
28.0,Courtney,Lawes,England,Utility Forward ,35.0,2.01,115.0,2008.0,Northampton,Premiership,12.0,10.0,0.0,2.0,11.0,2.0,10.0,815.0,champions cup,7.0,6.0,0.0,1.0,7.0,3.0,15.0,502.0,8.0,5.0,0.0,3.0,5.0,1.0,5.0,590.0,0,0,170000,Courtney Lawes,,,
29.0,Cyrill,Baille,France,Prop,30.0,1.82,118.0,2013.0,Stade Toulousain,Top 14,12.0,8.0,1.0,3.0,5.0,0.0,0.0,475.0,champions cup,8.0,8.0,0.0,0.0,8.0,0.0,0.0,442.0,8.0,6.0,1.0,2.0,8.0,2.0,10.0,455.0,0,0,325000,Cyrill Baille,,,
30.0,Angus,Bell,Australia,Prop ,23.0,1.93,130.0,2018.0,Waratahs,Super Rugby Pacific,6.0,1.0,0.0,5.0,5.0,0.0,0.0,314.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,7.0,1.0,5.0,395.0,0,0,140000,Angus Bell,,,
31.0,Blair,Kinghorn,Scotland,Utility Back ,27.0,1.93,107.0,2015.0,Stade Toulousain,Top 14,6.0,6.0,0.0,0.0,6.0,3.0,32.0,435.0,champions cup,8.0,8.0,0.0,0.0,8.0,4.0,59.0,624.0,10.0,5.0,0.0,5.0,8.0,1.0,5.0,584.0,0,0,325000,Blair Kinghorn,,,
32.0,Owen,Farrell,England,Fly,32.0,1.88,94.0,2012.0,Saracens,Premiership,13.0,8.0,0.0,5.0,13.0,1.0,103.0,1007.0,champions cup,4.0,2.0,0.0,2.0,4.0,0.0,40.0,320.0,6.0,5.0,0.0,1.0,6.0,0.0,84.0,462.0,0,1,1200000,Owen Farrell,,,
33.0,James,Lowe,Ireland,Winger,32.0,1.88,105.0,2013.0,Leinster Rugby,United Rugby Championship,3.0,2.0,0.0,1.0,3.0,4.0,20.0,143.0,champions cup,6.0,5.0,0.0,1.0,6.0,6.0,30.0,480.0,13.0,10.0,0.0,3.0,13.0,7.0,35.0,978.0,2,0,275000,James Lowe,,,
34.0,Malcolm,Marx,South Africa,Hooker ,30.0,1.89,116.0,2013.0,Kubota Spears Funabashi Tokyo-Bay,,,,,,,,,,,,,,,,,,,8.0,7.0,0.0,1.0,4.0,4.0,20.0,297.0,1,0,450000,Malcolm Marx,,,
35.0,Tommasso,Menoncello,Italy,Utility Back,22.0,1.87,101.0,2020.0,Benetton Rugby Tr�vise,United Rugby Championship,8.0,5.0,0.0,3.0,8.0,3.0,15.0,512.0,Challenge Cup,5.0,4.0,0.0,1.0,5.0,3.0,15.0,400.0,10.0,4.0,1.0,5.0,10.0,1.0,5.0,778.0,1,0,200000,Tommasso Menoncello,,,
36.0,Kurt,Lee-Arendse,South Africa,Winger,28.0,1.76,82.0,2019.0,Bulls,United Rugby Championship,13.0,9.0,0.0,4.0,13.0,10.0,50.0,925.0,champions cup,2.0,2.0,0.0,0.0,2.0,0.0,0.0,160.0,11.0,9.0,0.0,2.0,10.0,7.0,35.0,783.0,2,0,250000,Kurt Lee-Arendse,,,
37.0,Levani,Botia,Fiji,Center,35.0,1.82,103.0,2013.0,Stade Rochelais,Top 14,14.0,8.0,0.0,6.0,13.0,3.0,15.0,858.0,champions cup,6.0,3.0,0.0,3.0,6.0,0.0,0.0,395.0,6.0,2.0,0.0,4.0,5.0,1.0,5.0,383.0,2,0,325000,Levani Botia,,,
38.0,Garry,Ringrose,Ireland,Center,29.0,1.86,90.0,2015.0,Leinster Rugby,United Rugby Championship,4.0,3.0,0.0,1.0,4.0,1.0,5.0,226.0,champions cup,4.0,4.0,0.0,0.0,4.0,0.0,0.0,308.0,10.0,8.0,0.0,2.0,7.0,2.0,10.0,578.0,0,0,275000,Garry Ringrose,,,
39.0,Siya,Kolisi,South Africa,Backrow,33.0,1.89,104.0,2013.0,Racing 92,Top 14,13.0,4.0,0.0,9.0,13.0,0.0,0.0,992.0,champions cup,5.0,1.0,0.0,4.0,5.0,1.0,5.0,316.0,11.0,9.0,0.0,2.0,11.0,2.0,10.0,570.0,2,0,775000,Siya Kolisi,,,
40.0,Semi,Radradra,Fiji,Utility Back,32.0,1.88,105.0,2015.0,Lyon,Top 14,9.0,5.0,0.0,4.0,9.0,0.0,0.0,644.0,champions cup,1.0,0.0,0.0,1.0,1.0,1.0,5.0,80.0,7.0,3.0,0.0,4.0,7.0,1.0,5.0,513.0,3,0,325000,Semi Radradra,,,
41.0,Tom,Curry,England,Backrow,26.0,1.85,110.0,2016.0,Sale,Premiership,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,339.0,0,1,170000,Tom Curry,,,
42.0,Robbie,Henshaw,Ireland,Center,31.0,1.91,100.0,2013.0,Leinster,United Rugby Championship,7.0,5.0,0.0,2.0,7.0,1.0,5.0,427.0,champions cup,8.0,7.0,0.0,1.0,8.0,2.0,10.0,650.0,11.0,9.0,0.0,2.0,9.0,0.0,0.0,705.0,1,0,275000,Robbie Henshaw,,,
43.0,Damian,McKenzie,New Zealand,Utility Back,29.0,1.77,81.0,2014.0,Chiefs,Super Rugby Pacific,15.0,10.0,0.0,5.0,15.0,2.0,177.0,1102.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,8.0,6.0,122.0,576.0,0,0,250000,Damian McKenzie,,,
44.0,Damian,De-Allende,South Africa,Center,32.0,1.89,106.0,2013.0,Munster Rugby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,9.0,1.0,0.0,727.0,0,0,460000,Damian De-Allende,,,
